OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
6585,-100.898563,29.355387,DEL RIO,TX,78840
6586,-96.600357,33.640434,SHERMAN,TX,75090
6587,-95.433103,29.811754,HOUSTON,TX,77008
6588,-96.767205,32.880597,DALLAS,TX,75231
6589,-95.401396,29.709996,HOUSTON,TX,77030
6590,-96.83884,32.812892,DALLAS,TX,75390
6591,-98.409288,26.238618,MISSION,TX,78572
6592,-97.343749,32.734544,FORT WORTH,TX,76104
6593,-95.368165,29.738569,HOUSTON,TX,77030
6594,-96.780351,32.790941,DALLAS,TX,75246
6595,-95.630266,29.587347,SUGAR LAND,TX,77479
6596,-95.184782,29.658718,PASADENA,TX,77504
6597,-97.751221,30.35146,AUSTIN,TX,78731
6598,-106.434234,31.772674,EL PASO,TX,79905
6599,-97.138462,32.659443,ARLINGTON,TX,76017
6600,-97.746432,30.306685,AUSTIN,TX,78705
6601,-106.345458,31.756863,EL PASO,TX,79925
6602,-96.884718,33.027704,CARROLLTON,TX,75010
6603,-95.635902,29.735584,HOUSTON,TX,77077
6604,-98.589332,29.509249,SAN ANTONIO,TX,78250
6605,-96.857212,32.746968,DALLAS,TX,75211
6606,-101.919227,35.194988,AMARILLO,TX,79106
6607,-96.599672,32.838847,GARLAND,TX,75043
6608,-96.291261,30.582582,COLLEGE STATION,TX,77845
6609,-95.470629,30.001284,HOUSTON,TX,77014
6610,-97.212254,32.827912,FORT WORTH,TX,76180
6611,-95.41864,29.733111,HOUSTON,TX,77098
6612,-97.726259,30.288906,AUSTIN,TX,78705
6613,-95.96788,28.992911,BAY CITY,TX,77414
6614,-96.847999,32.820417,DALLAS,TX,75390
6615,-98.427542,29.504868,SAN ANTONIO,TX,78234
6616,-98.491823,29.46728,SAN ANTONIO,tx,78212
6617,-96.793612,32.831123,HIGHLAND PARK,TX,75205
6618,-96.84459,32.817629,DALLAS,TX,75390
6619,-95.544613,29.779942,HOUSTON,TX,77024
6620,-102.835172,32.968979,DENVER CITY,TX,79323
6621,-97.70111,30.317986,AUSTIN,TX,78723
6622,-96.832072,32.851163,DALLAS,TX,75201
6623,-96.27478,32.737506,TERRELL,TX,75160
6624,-98.463781,29.623164,SAN ANTONIO,TX,78258
6625,-96.780351,32.790941,DALLAS,TX,75246
